61,いにしへの 奈良の都の 八重桜,けふ九重に 匂ひぬるかな,いにしへの ならのみやこの やへざくら,けふここのへに にほひぬるかな,伊勢大輔,いせのたいふ,2
62,夜をこめて 鳥のそらねは はかるとも,よに逢坂の 関はゆるさじ,よをこめて とりのそらねは はかるとも,よにあふさかの せきはゆるさじ,清少納言,せいしょうなごん,2
63,いまはただ 思ひ絶えなむ とばかりを,人づてならで 言ふよしもがな,いまはただ おもひたえなむ とばかりを,ひとづてならで いふよしもがな,左京大夫道雅,さきょうのだいぶみちまさ,1
64,朝ぼらけ 宇治の川霧 絶え絶えに,あらはれわたる 瀬々の網代木,あさぼらけ うぢのかはぎり たえだえに,あらはれわたる せぜのあじろぎ,権中納言定頼,ごんちゅうなごんさだより,1
65,うらみわび ほさぬ袖だに あるものを,恋にくちなむ 名こそをしけれ,うらみわび ほさぬそでだに あるものを,こひにくちなむ なこそをしけれ,相模,さがみ,2
66,もろともに あはれと思へ 山桜,花よりほかに 知る人もなし,もろともに あはれとおもへ やまざくら,はなよりほかに しるひともなし,前大僧正行尊,さきのだいそうじょうぎょうそん,0
67,春の夜の 夢ばかりなる 手枕に,かひなくたたむ 名こそをしけれ,はるのよの ゆめばかりなる たまくらに,かひなくたたむ なこそをしけれ,周防内侍,すおうのないし,2
68,心にも あらでうき世に ながらへば,恋しかるべき 夜半の月かな,こころにも あらでうきよに ながらへば,こひしかるべき よはのつきかな,三条院,さんじょういん,1
69,あらし吹く み室の山の もみぢばは,竜田の川の 錦なりけり,あらしふく みむろのやまの もみぢばは,たつたのかはの にしきなりけり,能因法師,のういんほうし,0
70,さびしさに 宿を立ち出でて ながむれば,いづくもおなじ 秋の夕ぐれ,さびしさに やどをたちいでて ながむれば,いづくもおなじ あきのゆふぐれ,良選法師,りょうぜんほうし,0
71,夕されば 門田の稲葉 おとづれて,蘆のまろやに 秋風ぞ吹く,ゆふされば かどたのいなば おとづれて,あしのまろやに あきかぜぞふく,大納言経信,だいなごんつねのぶ,1
72,音に聞く 高師の浜の あだ波は,かけじや袖の ぬれもこそすれ,おとにきく たかしのはまの あだなみは,かけじやそでの ぬれもこそすれ,祐子内親王家紀伊,ゆうしないしんのうけのきい,2
73,高砂の をのへのさくら さきにけり,とやまのかすみ たたずもあらなむ,たかさごの をのへのさくら さきにけり,とやまのかすみ たたずもあらなむ,前権中納言匡房,さきのごんちゅうなごんまさふさ,1
74,憂かりける 人を初瀬の 山おろしよ,はげしかれとは 祈らぬものを,うかりける ひとをはつせの やまおろしよ,はげしかれとは いのらぬものを,源俊頼朝臣,みなもとのとしよりあそん,1
75,ちぎりおきし させもが露を いのちにて,あはれ今年の 秋もいぬめり,ちぎりおきし させもがつゆを いのちにて,あはれことしの あきもいぬめり,藤原基俊,ふじわらのもととし,1
76,わたの原 こぎいでてみれば 久方の,雲いにまがふ 沖つ白波,わたのはら こぎいでてみれば ひさかたの,くもゐにまがふ おきつしらなみ,法性寺入道前関白太政大臣,ほつしょうじにゅうどうさきの,1
77,瀬をはやみ 岩にせかるる 滝川の,われても末に あはむとぞ思ふ,せをはやみ いはにせかるる たきがはの,われてもすゑに あはむとぞおもふ,崇徳院,すとくいん,1
78,淡路島 かよふ千鳥の 鳴く声に,幾夜ねざめぬ 須磨の関守,あはぢしま かよふちどりの なくこゑに,いくよねざめぬ すまのせきもり,源兼昌,みなもとのかねまさ,1
79,秋風に たなびく雲の たえ間より,もれいづる月の 影のさやけさ,あきかぜに たなびくくもの たえまより,もれいづるつきの かげのさやけさ,左京大夫顕輔,さきょうのだいぶあきすけ,1
80,長からむ 心もしらず 黒髪の,みだれてけさは 物をこそ思へ,ながからむ こころもしらず くろかみの,みだれてけさは ものをこそおもへ,待賢門院堀河,たいけんもんいんほりかわ,2
81,ほととぎす 鳴きつる方を ながむれば,ただありあけの 月ぞ残れる,ほととぎす なきつるかたを ながむれば,ただありあけの つきぞのこれる,後徳大寺左大臣,ごとくだいじさだいじん,1
82,思ひわび さてもいのちは あるものを,憂きにたへぬは 涙なりけり,おもひわび さてもいのちは あるものを,うきにたへぬは なみだなりけり,道因法師,どういんほうし,0
83,世の中よ 道こそなけれ 思ひ入る,山の奥にも 鹿ぞ鳴くなる,よのなかよ みちこそなけれ おもひいる,やまのおくにも しかぞなくなる,皇太后宮大夫俊成,こうたいごうぐうのだいぶしゅんぜい,1
84,ながらへば またこのごろや しのばれむ,憂しと見し世ぞ 今は恋しき,ながらへば またこのごろや しのばれむ,うしとみしよぞ いまはこひしき,藤原清輔朝臣,ふじわらのきよすけあそん,1
85,夜もすがら 物思ふころは 明けやらで,閨のひまさへ つれなかりけり,よもすがら ものおもふころは あけやらで,ねやのひまさへ つれなかりけり,俊恵法師,しゅんえほうし,0
86,なげけとて 月やは物を 思はする,かこち顔なる わが涙かな,なげけとて つきやはものを おもはする,かこちがほなる わがなみだかな,西行法師,さいぎょうほうし,0
87,村雨の 露もまだひぬ まきの葉に,霧たちのぼる 秋の夕ぐれ,むらさめの つゆもまだひぬ まきのはに,きりたちのぼる あきのゆふぐれ,寂蓮法師,じゃくれんほうし,0
88,難波江の 蘆のかりねの ひとよゆゑ,みをつくしてや 恋ひわたるべき,なにはえの あしのかりねの ひとよゆゑ,みをつくしてや こひわたるべき,皇嘉門院別当,こうかもんいんのべつとう,2
89,玉の緒よ たえなばたえね ながらへば,忍ぶることの 弱りもぞする,たまのをよ たえなばたえね ながらへば,しのぶることの よわりもぞする,式子内親王,しきしないしんのう,2
90,見せばやな 雄島のあまの 袖だにも,ぬれにぞぬれし 色はかはらず,みせばやな をじまのあまの そでだにも,ぬれにぞぬれし いろはかはらず,殷富門院大輔,いんぶもんいんのたいふ,2
91,きりぎりす 鳴くや霜夜の さむしろに,衣かたしき ひとりかも寝む,きりぎりす なくやしもよの さむしろに,ころもかたしき ひとりかもねむ,後京極摂政前太政大臣,ごきょうごくせっしょうさきのだいじょうだいじん,1
92,わが袖は 潮干にみえぬ 沖の石の,人こそしらね かわくまもなし,わがそでは しほひにみえぬ おきのいしの,ひとこそしらね かわくまもなし,二条院讃岐,にじょういんのさぬき,2
93,世の中は つねにもがもな なぎさこぐ,あまの小舟の 綱手かなしも,よのなかは つねにもがもな なぎさこぐ,あまのをぶねの つなでかなしも,鎌倉右大臣,かまくらのうだいじん,1
94,み吉野の 山の秋風 さ夜ふけて,ふるさと寒く 衣うつなり,みよしのの やまのあきかぜ さよふけて,ふるさとさむく ころもうつなり,参議雅経,さんぎまさつね,1
95,おほけなく うき世の民に おほふかな,わがたつ杣に 墨染の袖,おほけなく うきよのたみに おほふかな,わがたつそまに すみぞめのそで,前大僧正慈円,さきのだいそうじょうじえん,0
96,花さそふ 嵐の庭の 雪ならで,ふりゆくものは わが身なりけり,はなさそふ あらしのにはの ゆきならで,ふりゆくものは わがみなりけり,入道前太政大臣,にゅうどうさきのだいじょうだいじん,1
97,こぬ人を まつほの浦の 夕なぎに,焼くやもしほの 身もこがれつつ,こぬひとを まつほのうらの ゆふなぎに,やくやもしほの みもこがれつつ,権中納言定家,ごんちゅうなごんていか,1
98,風そよぐ ならの小川の 夕ぐれは,みそぎぞ夏の しるしなりける,かぜそよぐ ならのをがはの ゆふぐれは,みそぎぞなつの しるしなりける,従二位家隆,じゅうにいいえたか,1
99,人もをし 人もうらめし あぢきなく,世を思ふゆゑに 物思ふ身は,ひともをし ひともうらめし あぢきなく,よをおもふゆゑに ものおもふみは,後鳥羽院,ごとばいん,1
100,ももしきや ふるき軒ばの しのぶにも,なほあまりある 昔なりけり,ももしきや ふるきのきばの しのぶにも,なほあまりある むかしなりけり,順徳院,じゅんとくいん,1
